Wall time,Step,Value
1685126704.9757948,851,9.0
1685126706.1354988,857,11.0
1685126706.6840768,859,30.0
1685126706.8667734,860,26.0
1685126706.9635265,861,13.0
1685126707.199106,862,30.0
1685126707.4445958,863,30.0
1685126708.131091,867,11.0
1685126708.5371935,869,30.0
1685126708.812188,870,28.0
1685126709.4362295,874,13.0
1685126709.6539767,875,28.0
1685126709.8820636,876,28.0
1685126709.9591532,877,12.0
1685126710.7182546,880,34.0
1685126710.8587937,881,17.0
1685126711.0638502,882,29.0
1685126711.19988,884,11.0
1685126711.775547,887,14.0
1685126712.2708192,889,33.0
1685126712.5088005,890,37.0
1685126712.835902,892,36.0
1685126713.0401561,893,32.0
1685126713.7115092,896,37.0
1685126714.3925405,899,37.0
1685126714.628964,900,37.0
1685126716.0735908,907,36.0
1685126716.3660586,908,37.0
1685126716.6182005,909,35.0
1685126716.928966,910,36.0
1685126717.0201719,911,13.0
1685126717.0881941,912,11.0
1685126717.3527818,913,37.0
1685126717.8965888,915,35.0
1685126717.9941745,916,12.0
1685126718.2807071,917,35.0
1685126718.6617107,920,12.0
1685126718.9419794,921,36.0
1685126719.019181,922,11.0
1685126719.2753615,923,37.0
1685126719.9399345,925,37.0
1685126721.0737827,931,11.0
1685126721.384956,932,35.0
1685126722.2983696,935,35.0
1685126723.549016,942,37.0
1685126724.7949133,945,36.0
1685126726.2108533,952,37.0
1685126726.5632527,953,37.0
1685126726.9356709,954,36.0
1685126727.3999538,956,34.0
1685126727.4940102,957,12.0
1685126727.75927,958,35.0
1685126728.5866098,961,36.0
1685126728.832963,962,34.0
1685126729.1516273,964,11.0
1685126729.707653,966,35.0
1685126730.008098,967,35.0
1685126730.3407388,969,35.0
1685126730.640633,971,34.0
1685126730.8842108,972,36.0
1685126731.3179965,974,36.0
1685126731.775274,976,34.0
1685126732.0505285,977,36.0
1685126732.1570642,978,13.0
1685126732.3867548,979,36.0
1685126732.9236999,982,35.0
1685126733.1640096,983,36.0
1685126733.390896,984,36.0
1685126733.7473285,987,34.0
1685126733.9571376,988,33.0
1685126735.461468,996,13.0
1685126736.0568337,999,14.0
1685126736.1488857,1000,11.0
1685126736.6973903,1002,35.0
1685126737.058798,1004,12.0
1685126737.3238122,1005,35.0
1685126738.092083,1008,34.0
1685126738.1851616,1009,13.0
1685126738.3601468,1011,13.0
1685126738.595237,1012,33.0
1685126738.6867857,1013,10.0
1685126738.810814,1014,12.0
1685126739.6887076,1017,34.0
1685126740.9020295,1025,35.0
1685126741.079781,1027,11.0
1685126741.3741105,1029,11.0
1685126741.8491096,1031,35.0
1685126742.098915,1032,35.0
1685126742.3246171,1033,34.0
1685126742.47708,1035,11.0
1685126742.628132,1037,12.0
1685126742.8297555,1038,34.0
1685126743.0439353,1039,34.0
1685126743.2916253,1042,13.0
1685126743.4437811,1044,11.0
1685126744.1271808,1049,10.0
1685126744.473028,1051,32.0
1685126744.5651047,1052,13.0
1685126745.162063,1055,34.0
1685126745.5260763,1057,14.0
1685126747.1607196,1063,33.0
1685126747.5453212,1064,34.0
1685126748.0295305,1066,10.0
1685126748.4194422,1068,12.0
1685126748.8847313,1072,11.0
1685126749.4082675,1074,35.0
1685126749.8028083,1076,35.0
1685126750.206016,1078,13.0
1685126750.7620332,1080,35.0
1685126750.9590986,1082,11.0
1685126751.0356154,1083,10.0
1685126751.3156803,1084,34.0
1685126751.590715,1085,35.0
1685126751.8599167,1086,34.0
1685126752.4163165,1092,11.0
1685126752.534494,1093,14.0
1685126753.919044,1099,12.0
1685126754.3435674,1101,34.0
1685126754.5439956,1103,12.0
1685126754.7176538,1104,12.0
1685126754.8473558,1105,10.0
1685126756.5564172,1114,33.0
1685126757.0416586,1116,36.0
1685126757.6318066,1119,35.0
1685126758.1907952,1122,13.0
1685126758.4198225,1123,33.0
1685126758.721945,1125,12.0
1685126758.7980363,1126,10.0
1685126759.087695,1127,34.0
1685126759.954375,1130,34.0
1685126760.2514465,1131,33.0
1685126760.6480193,1133,20.0
1685126760.7744322,1134,19.0
1685126760.8421965,1135,10.0
1685126761.0448804,1138,9.0
1685126761.2597988,1139,34.0
1685126761.4019694,1141,12.0
1685126762.6574316,1149,31.0
1685126762.9053605,1150,34.0
1685126763.1264012,1151,33.0
1685126763.372048,1152,34.0
1685126763.9642057,1155,35.0
1685126764.2086897,1156,34.0
1685126764.4446125,1157,34.0
1685126765.085846,1160,35.0
1685126765.1801856,1161,12.0
1685126765.4991627,1162,34.0
1685126766.0562649,1165,28.0
1685126767.7038548,1177,34.0
1685126768.4054546,1180,35.0
1685126768.5933137,1182,11.0
1685126768.845889,1183,33.0
1685126768.9839206,1185,10.0
1685126769.253414,1186,34.0
1685126770.482459,1189,33.0
1685126771.1460927,1192,35.0
1685126771.4027402,1193,33.0
1685126771.4898322,1194,12.0
1685126771.696379,1195,29.0
1685126771.780016,1196,12.0
1685126771.8610158,1197,13.0
1685126771.9361129,1198,10.0
1685126772.0112224,1199,12.0
1685126772.343744,1201,12.0
1685126772.6589494,1203,33.0
1685126772.7400591,1204,11.0
1685126773.1759536,1206,29.0
1685126773.3792145,1208,17.0
1685126773.5668912,1210,12.0
1685126773.6921208,1211,15.0
1685126773.776217,1212,11.0
1685126774.0681288,1213,34.0
1685126774.3712058,1214,36.0
1685126774.628522,1215,34.0
1685126776.182561,1224,9.0
1685126776.2616458,1225,10.0
1685126776.5918124,1227,11.0
1685126776.6999006,1228,14.0
1685126777.3560004,1232,34.0
1685126777.6185105,1233,35.0
1685126777.6926756,1234,10.0
1685126777.887303,1236,10.0
1685126778.6104093,1239,34.0
1685126779.3211818,1242,34.0
1685126779.5568733,1244,10.0
1685126780.0312572,1246,35.0
1685126780.1067915,1247,11.0
1685126780.6289313,1249,34.0
1685126780.946509,1250,34.0
1685126781.5156426,1253,10.0
1685126781.6087475,1254,10.0
1685126781.6915877,1255,10.0
1685126782.2247465,1257,34.0
1685126782.3069453,1258,10.0
1685126782.575106,1259,33.0
1685126782.9562042,1261,10.0
1685126783.024299,1262,9.0
1685126783.2805834,1263,33.0
1685126783.3723855,1264,11.0
1685126783.45096,1265,9.0
1685126783.5280302,1266,9.0
1685126784.3845878,1271,10.0
1685126784.4815302,1272,10.0
1685126784.9397142,1274,34.0
1685126785.7333286,1278,34.0
1685126786.034726,1279,34.0
1685126786.2936804,1281,13.0
1685126786.8485565,1285,16.0
1685126787.0589197,1287,17.0
1685126787.379051,1289,11.0
1685126787.8938818,1291,34.0
1685126787.9904768,1292,11.0
1685126788.2345638,1293,33.0
1685126788.3651628,1294,18.0
1685126788.6875331,1296,34.0
1685126789.406948,1299,34.0
1685126789.629708,1300,33.0
1685126790.0981724,1302,34.0
1685126790.3525128,1303,35.0
1685126790.4851685,1304,20.0
1685126790.7177377,1306,17.0
1685126791.5285323,1310,10.0
1685126791.8578496,1312,34.0
1685126792.097545,1313,35.0
1685126792.4474926,1315,17.0
1685126792.517095,1316,10.0
1685126793.1739128,1319,33.0
1685126793.4126017,1320,33.0
1685126794.4321973,1325,33.0
1685126794.725166,1326,35.0
