Wall time,Step,Value
1685123324.9792662,419,39.0
1685123325.485516,420,67.0
1685123326.0052922,421,56.0
1685123326.397079,422,49.0
1685123326.7847905,423,50.0
1685123327.3626375,424,74.0
1685123327.9366517,425,76.0
1685123328.764422,426,106.0
1685123329.3773131,427,80.0
1685123329.8649282,428,59.0
1685123330.2303133,429,45.0
1685123330.6287014,430,53.0
1685123331.0367606,431,49.0
1685123331.7643578,432,81.0
1685123332.0241554,433,33.0
1685123332.4232097,434,52.0
1685123332.9349742,435,65.0
1685123333.4504,436,62.0
1685123333.9059772,437,52.0
1685123334.4708498,438,69.0
1685123334.9647822,439,59.0
1685123335.41489,440,60.0
1685123335.8498068,441,54.0
1685123336.4915397,442,85.0
1685123336.9235733,443,60.0
1685123337.594347,444,83.0
1685123338.274114,445,88.0
1685123338.5426378,446,34.0
1685123338.9653177,447,57.0
1685123339.4816017,448,68.0
1685123340.458005,449,125.0
1685123341.4531002,450,121.0
1685123342.5149958,451,128.0
1685123342.96518,452,60.0
1685123343.4147015,453,61.0
1685123343.965387,454,73.0
1685123344.472789,455,59.0
1685123345.0770195,456,64.0
1685123345.545266,457,58.0
1685123346.117788,458,73.0
1685123346.6342108,459,58.0
1685123347.062116,460,51.0
1685123347.4432204,461,48.0
1685123347.7917423,462,44.0
1685123348.231908,463,56.0
1685123348.5802674,464,45.0
1685123349.1905067,465,69.0
1685123350.556992,466,154.0
1685123351.1020746,467,64.0
1685123351.7791772,468,83.0
1685123352.6698782,469,110.0
1685123353.1655183,470,62.0
1685123353.649227,471,62.0
1685123354.4640892,472,88.0
1685123355.163903,473,91.0
1685123355.725712,474,60.0
1685123356.5836935,475,104.0
1685123357.512672,476,114.0
1685123358.2251742,477,96.0
1685123358.9297392,478,102.0
1685123360.568741,479,201.0
1685123361.3448465,480,85.0
1685123361.894107,481,61.0
1685123363.269665,482,158.0
1685123364.1623409,483,102.0
1685123365.0671573,484,110.0
1685123365.5156574,485,49.0
1685123366.4717853,486,113.0
1685123367.3308208,487,99.0
1685123367.8448706,488,61.0
1685123368.350653,489,62.0
1685123369.495805,490,135.0
1685123370.3225439,491,96.0
1685123371.205615,492,99.0
1685123371.6478379,493,54.0
1685123372.823862,494,130.0
1685123373.7560632,495,109.0
1685123374.5250592,496,87.0
1685123375.7895675,497,140.0
1685123376.5536952,498,87.0
1685123377.719899,499,126.0
1685123378.3348124,500,76.0
1685123379.0049663,501,77.0
1685123380.6501722,502,166.0
1685123381.9353962,503,133.0
1685123382.5940855,504,65.0
1685123384.470937,505,201.0
1685123385.2533245,506,90.0
1685123387.0455365,507,201.0
1685123388.3828354,508,142.0
1685123389.420535,509,113.0
1685123391.2881436,510,201.0
1685123391.7626486,511,53.0
1685123392.7567272,512,107.0
1685123393.8717635,513,105.0
1685123394.5427618,514,67.0
1685123396.6030912,515,201.0
1685123397.3987863,516,72.0
1685123399.500768,517,201.0
1685123401.4975169,518,201.0
1685123403.250031,519,189.0
1685123405.1389854,520,201.0
1685123406.633151,521,152.0
1685123408.5308065,522,201.0
1685123409.873527,523,132.0
1685123411.9698238,524,201.0
1685123412.804529,525,80.0
1685123414.7246244,526,201.0
1685123416.5666418,527,201.0
1685123418.2696812,528,201.0
